time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-06-12T17:23:30.101Z,62.6641,-149.4109,66.7,1.5,ml,,,,0.59,ak,ak0197huuxkx,2019-06-12T17:27:46.240Z,"52km NE of Talkeetna, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-06-12T17:09:06.780Z,34.0548333,-117.4873333,2.37,0.97,ml,17,101,0.1112,0.3,ci,ci38637976,2019-06-12T17:12:45.607Z,"5km N of Glen Avon, CA",earthquake,0.74,1.6,0.202,31,automatic,ci,ci
2019-06-12T17:00:25.650Z,34.034,-117.5143333,2.4,1.25,ml,41,51,0.04902,0.29,ci,ci38637944,2019-06-12T17:04:08.035Z,"4km NW of Glen Avon, CA",earthquake,0.42,0.69,0.226,30,automatic,ci,ci
2019-06-12T16:59:26.450Z,32.8623333,-116.2063333,8.35,1.51,ml,33,78,0.1157,0.23,ci,ci38637936,2019-06-12T17:09:55.230Z,"24km NW of Ocotillo, CA",earthquake,0.36,1.32,0.185,28,automatic,ci,ci
2019-06-12T16:52:04.250Z,19.2298336,-155.402832,33.59,2.06,ml,59,141,0.009142,0.12,hv,hv70992591,2019-06-12T16:57:42.660Z,"8km ENE of Pahala, Hawaii",earthquake,0.48,0.62,3.34,19,automatic,hv,hv
2019-06-12T16:45:56.730Z,38.8213348,-122.7646637,1.89,0.99,md,11,117,0.01,0.02,nc,nc73196606,2019-06-12T16:53:02.495Z,"4km W of Cobb, CA",earthquake,0.33,0.57,0.28,2,automatic,nc,nc
2019-06-12T16:41:08.219Z,59.9203,-152.4755,75.6,2.5,ml,,,,0.71,ak,ak0197hudb6a,2019-06-12T16:53:27.017Z,"39km WNW of Anchor Point, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-06-12T16:33:34.610Z,36.6236649,-121.2826691,5.05,1.35,md,8,110,0.02874,0.15,nc,nc73196601,2019-06-12T16:42:03.435Z,"16km NW of Pinnacles, CA",earthquake,0.65,1.65,0.19,7,automatic,nc,nc
2019-06-12T16:26:39.457Z,60.1657,-136.981,0,2,ml,,,,0.76,ak,ak0197hua5ty,2019-06-12T16:42:31.641Z,"71km SSE of Haines Junction, Canada",earthquake,,0.4,,,automatic,ak,ak
2019-06-12T16:26:30.780Z,39.4197,-119.9332,6.9,0.8,ml,8,113.64,0.145,0.12,nn,nn00687405,2019-06-12T16:52:03.490Z,"10km S of Mogul, Nevada",earthquake,,13.2,,,automatic,nn,nn
2019-06-12T16:24:13.360Z,19.2261658,-155.4029999,32.94,2.04,ml,53,142,0.01242,0.11,hv,hv70992561,2019-06-12T16:29:54.210Z,"8km ENE of Pahala, Hawaii",earthquake,0.47,0.65,3.73,6,automatic,hv,hv
2019-06-12T16:11:47.100Z,38.8240013,-122.8000031,2.72,0.82,md,18,57,0.00789,0.04,nc,nc73196596,2019-06-12T16:49:02.471Z,"6km NW of The Geysers, CA",earthquake,0.28,0.61,0.05,3,automatic,nc,nc
2019-06-12T16:04:09.370Z,61.5237,-149.9171,41.7,3.3,ml,,,,0.42,ak,ak0197hu5dph,2019-06-12T17:11:55.135Z,"2km E of Big Lake, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2019-06-12T15:59:21.020Z,35.1556667,-118.3996667,1.95,1.04,ml,13,65,0.1364,0.15,ci,ci38637664,2019-06-12T16:53:06.530Z,"5km ENE of Tehachapi, CA",quarry blast,0.43,1.14,0.137,7,reviewed,ci,ci
2019-06-12T15:56:38.760Z,38.8351669,-122.8115005,2.03,0.89,md,18,54,0.01181,0.03,nc,nc73196591,2019-06-12T16:17:04.301Z,"8km W of Cobb, CA",earthquake,0.26,0.47,0.12,3,automatic,nc,nc
